"starch","glycerol","glucose","fructose","citrate","butyrate","ascorbic","acetate","rep_1","rep_2","rep_3","mean","sd"
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0.0187145876355277,0.0202475137006744,0.0167197269384917,0.0185606094248979,0.00176892674434791
0,0,0,0,0,0,1,0,0.00406171765794124,0.00584066063011445,0.00237644401015884,0.00409294076607151,0.00173231935836183
0,0,0,0,0,0,1,1,0.020639836159842,0.0221253416117163,0.0200898347646905,0.0209516708454163,0.00105297325911803
0,0,0,0,0,1,0,0,0.010028873516884,0.00900267568327779,0.0125685932984912,0.0105333808328843,0.00183571180568891
0,0,0,0,0,1,0,1,0.0301721311105905,0.028844903117571,0.028134507418867,0.0290505138823428,0.00103425548933075
0,0,0,0,0,1,1,0,0.0157259171655428,0.0110539546566183,0.0151215010526688,0.01396712429161,0.00254091473706881
0,0,0,0,0,1,1,1,0.0299587649936712,0.0248963938367879,0.0324608671125805,0.0291053419810132,0.0038537724522792
0,0,0,0,1,0,0,0,0.0232471814742379,0.0273375196083586,0.0162616570053172,0.0222821193626379,0.00560064208460042
0,0,0,0,1,0,0,1,0.0392494662709442,0.0472747647371899,0.0382230295969729,0.0415824202017024,0.00495635781541647
0,0,0,0,1,0,1,0,0.0266772280189275,0.0387541532839905,0.0222514686872546,0.0292276166633909,0.00854183887715002
0,0,0,0,1,0,1,1,0.0400248292429017,0.0451846812899532,0.0385181487594813,0.0412425530974454,0.00349611248880862
0,0,0,0,1,1,0,0,0.0277766933187753,0.0325637682618323,0.0270839840807958,0.0291414818871345,0.00298395619018233
0,0,0,0,1,1,0,1,0.0518965871717709,0.0528924804480355,0.0450664108498303,0.0499518261565456,0.00426009540899533
0,0,0,0,1,1,1,0,0.0321237712278389,0.0345665139320854,0.0303011815761377,0.0323304889120207,0.00214016685737087
0,0,0,0,1,1,1,1,0.049051040651926,0.0435591846599918,0.0470791533922217,0.0465631262347131,0.00278205563918133
0,0,0,1,0,0,0,0,0.0180686492492518,0.0193805605295086,0.0210687343744215,0.019505981384394,0.00150396990751023
0,0,0,1,0,0,0,1,0.0373073398589015,0.041727162580452,0.0330683669861061,0.0373676231418199,0.00432971255879827
0,0,0,1,0,0,1,0,0.0201781165274834,0.0244234603437546,0.020031552137351,0.0215443763361964,0.0024944365740678
0,0,0,1,0,0,1,1,0.0368534094958386,0.0354367884989368,0.0352944592417538,0.0358615524121764,0.000861916330145053
0,0,0,1,0,1,0,0,0.0265671264670548,0.0246564324858489,0.0285467185797605,0.0265900925108881,0.00194524472817629
0,0,0,1,0,1,0,1,0.0404615323726667,0.0325702155209039,0.0394195984270201,0.0374837821068635,0.00428704548993442
0,0,0,1,0,1,1,0,0.0281221075385826,0.0269729892177766,0.0296093480983862,0.0282348149515818,0.00132178828015344
0,0,0,1,0,1,1,1,0.0416036098183572,0.0361336459682466,0.0370970321980221,0.0382780959948753,0.00291998457180122
0,0,0,1,1,0,0,0,0.0441282522486103,0.0475391627968333,0.0347855344059319,0.0421509831504585,0.00660272323349851
0,0,0,1,1,0,0,1,0.0499927443696374,0.057846762816919,0.0420700730727917,0.0499698600864494,0.00788836976747575
0,0,0,1,1,0,1,0,0.0458471205604406,0.0464120224857822,0.0389742573260841,0.043744466790769,0.00414076711480378
0,0,0,1,1,0,1,1,0.0532116817234452,0.0585289184427117,0.0497089332498888,0.0538165111386819,0.0044409907302938
0,0,0,1,1,1,0,0,0.0465500437023884,0.0430190076844673,0.0449867002728513,0.0448519172199024,0.00176937240101842
0,0,0,1,1,1,0,1,0.0559616535090601,0.0484911099875781,0.0548494407282397,0.0531007347416259,0.00403059978133568
0,0,0,1,1,1,1,0,0.0500487524209103,0.04905337817252,0.0407159289848729,0.0466060198594344,0.00512518978736732
0,0,0,1,1,1,1,1,0.0591154025890525,0.0545802248525822,0.0431351455736082,0.0522769243384143,0.00823535357552053
0,0,1,0,0,0,0,0,0.0253298079038835,0.0320163563001983,0.0215877661217655,0.0263113101086158,0.0052831224868298
0,0,1,0,0,0,0,1,0.0366479089276257,0.0461055496945865,0.0311396657384795,0.0379643747868972,0.00756929537116143
0,0,1,0,0,0,1,0,0.0254502692453673,0.0335775189828021,0.0241399063588041,0.0277225648623245,0.00511269288519209
0,0,1,0,0,0,1,1,0.0370659581944913,0.0405574920600194,0.0341774926729283,0.037266980975813,0.00319474657269998
0,0,1,0,0,1,0,0,0.0317198032584163,0.0279392466930826,0.026949636437424,0.028869562129641,0.00251748644160161
0,0,1,0,0,1,0,1,0.0371074954901155,0.0299329187506802,0.0316730536298001,0.0329044892901986,0.00374245416629081
0,0,1,0,0,1,1,0,0.037506045510506,0.036190164032383,0.0262078750270474,0.0333013615233121,0.00617827233299361
0,0,1,0,0,1,1,1,0.0403413256329377,0.0346842906225928,0.0255533020527325,0.0335263061027543,0.00746170935264267
0,0,1,0,1,0,0,0,0.0445530902681617,0.0474380286654139,0.0417997918325934,0.0445969702553897,0.0028193745291647
0,0,1,0,1,0,0,1,0.0512724465456653,0.054431062880588,0.0442289504325411,0.0499774866195981,0.00522287904399846
0,0,1,0,1,0,1,0,0.0444361527621197,0.0464308495952964,0.0408577531427189,0.0439082518333783,0.00282380250023926
0,0,1,0,1,0,1,1,0.0504210802262734,0.0503779128824904,0.0478845202647391,0.049561171124501,0.00145218264486511
0,0,1,0,1,1,0,0,0.0490371281844055,0.044539420472722,0.0419291464301081,0.0451685650290785,0.00359551363638783
0,0,1,0,1,1,0,1,0.052557236303382,0.0446930663965651,0.0490607132468959,0.0487703386489477,0.0039401180358171
0,0,1,0,1,1,1,0,0.0505540337707713,0.0422867980611285,0.0346702274866305,0.0425036864395101,0.00794412398849208
0,0,1,0,1,1,1,1,0.054632231696252,0.0489538950620544,0.0374775026776658,0.0470212098119908,0.00873914390155814
0,0,1,1,0,0,0,0,0.0457495286995419,0.0466147775208792,0.038180170017117,0.0435148254125127,0.00464015894355192
0,0,1,1,0,0,0,1,0.0460308548004939,0.0514751083159833,0.0409852106469586,0.046163724587812,0.00524621092427086
0,0,1,1,0,0,1,0,0.0407042698474192,0.0436740275639991,0.0366289263928685,0.0403357412680956,0.00353697930630077
0,0,1,1,0,0,1,1,0.0431872231123797,0.0344930554726197,0.0463034906703836,0.0413279230851277,0.00612081222826267
0,0,1,1,0,1,0,0,0.0418654893597466,0.0383876727578593,0.034865031661159,0.0383727312595883,0.00350025276711647
0,0,1,1,0,1,0,1,0.0451639152021925,0.0370367390365543,0.0446037030698382,0.0422681191028617,0.00453915878296052
0,0,1,1,0,1,1,0,0.0420866135154394,0.0335457775873884,0.0337066342949652,0.0364463417992643,0.00488528069759624
0,0,1,1,0,1,1,1,0.0469501175837638,0.0402618399962616,0.0395859234844973,0.0422659603548409,0.00407065258793623
0,0,1,1,1,0,0,0,0.058393559089227,0.0595554133330628,0.0529148484247995,0.0569546069490298,0.00354643666537949
0,0,1,1,1,0,0,1,0.0595201941849316,0.064087633979763,0.0570538869195951,0.0602205716947632,0.003568794743161
0,0,1,1,1,0,1,0,0.0568256919531373,0.0563840446423438,0.0549385440081644,0.0560494268678818,0.000987070733429618
0,0,1,1,1,0,1,1,0.0619702806457771,0.0455569532795818,0.0683072546757869,0.0586114962003819,0.0117411723485142
0,0,1,1,1,1,0,0,0.0588805881438529,0.0458247788088125,0.0553831685821409,0.0533628451782688,0.00675831482992673
0,0,1,1,1,1,0,1,0.0596196703113465,0.0404670189439646,0.0628671584362845,0.0543179492305318,0.0121046580758365
0,0,1,1,1,1,1,0,0.0577537615985518,0.0411025287235562,0.0476358426601725,0.0488307109940935,0.00838967650245763
0,0,1,1,1,1,1,1,0.061167569245038,0.048251952193265,0.0539607094854469,0.0544600769745833,0.00647227292949836
0,1,0,0,0,0,0,0,0.0349446002712553,0.0349127891249844,0.0287841833782282,0.032880524258156,0.00354757092116315
0,1,0,0,0,0,0,1,0.0415992610343505,0.0419758597246732,0.0340317384847576,0.0392022864145938,0.00448178324603477
0,1,0,0,0,0,1,0,0.0348231660812916,0.033730625279166,0.0330324793572205,0.033862090239226,0.000902553052586824
0,1,0,0,0,0,1,1,0.0395198653884029,0.041007565982627,0.0405076819200477,0.0403450377636926,0.000757068758905701
0,1,0,0,0,1,0,0,0.0362636896891776,0.0354334383998232,0.0264575179654791,0.0327182153514933,0.00543779165841265
0,1,0,0,0,1,0,1,0.0399863446495533,0.0318417890893914,0.037842429428391,0.0365568543891119,0.00422172638909183
0,1,0,0,0,1,1,0,0.0355109937945874,0.0336546688690269,0.0249364599224491,0.0313673741953545,0.00564614730116104
0,1,0,0,0,1,1,1,0.0398058668027221,0.0363121576023801,0.0340677551347068,0.0367285931799363,0.00289163367689345
0,1,0,0,1,0,0,0,0.0555249364854272,0.0576573782813098,0.0457987196486065,0.0529936781384478,0.00632158190298217
0,1,0,0,1,0,0,1,0.0604828139128531,0.062253740902916,0.0570556621338384,0.0599307389832025,0.00264264938430077
0,1,0,0,1,0,1,0,0.0545843636288244,0.0543914281421238,0.0489394668331953,0.0526384195347145,0.00320483920681896
0,1,0,0,1,0,1,1,0.0608756130319192,0.0569005461030217,0.0592632284703031,0.059013129201748,0.00199930025393951
0,1,0,0,1,1,0,0,0.0596623279436491,0.0501526184735111,0.0455810270128988,0.0517986578100197,0.0071835118917273
0,1,0,0,1,1,0,1,0.0632697164886417,0.0503856355039493,0.0571517860332111,0.0569357126752674,0.0064447576740354
0,1,0,0,1,1,1,0,0.0565073274088474,0.049184609729416,0.0403808829887384,0.0486909400423339,0.00807454857739268
0,1,0,0,1,1,1,1,0.06107075827579,0.0550607995473443,0.048405243460136,0.0548456004277567,0.00633549914230844
0,1,0,1,0,0,0,0,0.043311228829098,0.0424337092483573,0.0417245307372555,0.0424898229382369,0.000794836000888302
0,1,0,1,0,0,0,1,0.0401022483584452,0.0346356644249537,0.0504078878704369,0.0417152668846119,0.00800887817848917
0,1,0,1,0,0,1,0,0.0375248354105494,0.0288450093207604,0.0410578013139339,0.0358092153484146,0.00628455139332396
0,1,0,1,0,0,1,1,0.038843510122095,0.0298232568542336,0.0512864664382056,0.039984411138178,0.010776993215074
0,1,0,1,0,1,0,0,0.0376125755911802,0.0322867665187925,0.0366192278457571,0.0355061899852433,0.00283199585594412
0,1,0,1,0,1,0,1,0.040691411665116,0.03056555684178,0.0449735989690325,0.0387435224919761,0.00739889340768586
0,1,0,1,0,1,1,0,0.0369501385403048,0.0264068125375351,0.0346278613299274,0.0326616041359225,0.00553986067648838
0,1,0,1,0,1,1,1,0.0395960791733904,0.0332627075838267,0.0472984439673515,0.0400524102415229,0.00702898659052341
0,1,0,1,1,0,0,0,0.0671727001219693,0.066757602185367,0.0650140153038361,0.0663147725370575,0.0011454490861999
0,1,0,1,1,0,0,1,0.0678352179818857,0.0573893631971271,0.0747007562628987,0.0666417791473039,0.00871718444558375
0,1,0,1,1,0,1,0,0.0620684413578214,0.0572319582192074,0.0597579531815284,0.0596861175861857,0.00241904165985063
0,1,0,1,1,0,1,1,0.066545937953604,0.0484162369031109,0.0706334569737633,0.0618652106101594,0.0118251056343993
0,1,0,1,1,1,0,0,0.0627886841841492,0.0547822573827523,0.0551388850900395,0.0575699422189804,0.00452307932769947
0,1,0,1,1,1,0,1,0.0609833129250569,0.0527240517646784,0.064708838432375,0.0594720677073701,0.00613365098848438
0,1,0,1,1,1,1,0,0.0627688996066842,0.0464693519351738,0.0519855081309423,0.0537412532242668,0.0082904037415864
0,1,0,1,1,1,1,1,0.0663577960770602,0.0605173733630488,0.0644972465628431,0.0637908053343173,0.00298361002421658
0,1,1,0,0,0,0,0,0.0478878281019241,0.0444896561190957,0.0451133361569345,0.0458302734593181,0.00180897554651291
0,1,1,0,0,0,0,1,0.0440505594278415,0.0379342832318089,0.0548167734740394,0.0456005387112299,0.00854730636100942
0,1,1,0,0,0,1,0,0.0431060952914994,0.040951703869359,0.0467504699092378,0.0436027563566987,0.00293111344996683
0,1,1,0,0,0,1,1,0.0404934509613159,0.036155512788787,0.0513618837454888,0.0426702824985305,0.00783341407524621
0,1,1,0,0,1,0,0,0.0377600323753027,0.0392652523657148,0.0317560315813566,0.0362604387741247,0.00397286860134842
0,1,1,0,0,1,0,1,0.0409528370960711,0.0407772394381337,0.0438779658824998,0.0418693474722349,0.00174172890339157
0,1,1,0,0,1,1,0,0.045601705043844,0.0361625809176365,0.0343500885294719,0.0387047914969841,0.00604126183168163
0,1,1,0,0,1,1,1,0.0378934453483854,0.0372863998132511,0.045997848457859,0.0403925645398319,0.00486379809631339
0,1,1,0,1,0,0,0,0.0613110018176047,0.0635733151083905,0.0530861171097053,0.0593234780119002,0.00551887838465283
0,1,1,0,1,0,0,1,0.06731768246524,0.0580413666875185,0.07644017878289,0.0672664093118828,0.00919951321170795
0,1,1,0,1,0,1,0,0.0626599752747522,0.0713828346961083,0.061803018343329,0.0652819427713965,0.00530087308877873
0,1,1,0,1,0,1,1,0.0609718565345343,0.0574774281259233,0.0703726914641295,0.0629406587081957,0.00666926462510533
0,1,1,0,1,1,0,0,0.0150854245279121,0.060948105907233,0.0486188815370453,0.0415508039907301,0.0237342511147038
0,1,1,0,1,1,0,1,0.0604294621222106,0.0582258316386237,0.064156756934349,0.0609373502317278,0.00299790451227361
0,1,1,0,1,1,1,0,0.0608519663009668,0.0571833558194284,0.0512882634703255,0.0564411951969069,0.00482485282163307
0,1,1,0,1,1,1,1,0.057149287098756,0.057120888383734,0.0614171373196038,0.0585624376006979,0.00247228325351175
0,1,1,1,0,0,0,0,0.0444738071228347,0.0452284829820013,0.0567657215797778,0.0488226705615379,0.00688922553861266
0,1,1,1,0,0,0,1,0.0457582969387326,0.0430736080594765,0.0693735146744385,0.0527351398908825,0.0144716455585795
0,1,1,1,0,0,1,0,0.0364573938669267,0.0363453287279828,0.0570905488661567,0.0432977571536887,0.011945039433442
0,1,1,1,0,0,1,1,0.0416881133752457,0.0382901721758977,0.0675199270651631,0.0491660708721022,0.0159854474121066
0,1,1,1,0,1,0,0,0.0407431209917891,0.0393845430982574,0.0501058516310897,0.0434111719070454,0.00583742117110337
0,1,1,1,0,1,0,1,0.0430722754603096,0.0413104513334574,0.0585296342275762,0.0476374536737811,0.00947394870029621
0,1,1,1,0,1,1,0,0.0361583598616443,0.0348754205814803,0.0451573281255845,0.038730369522903,0.00560275208799953
0,1,1,1,0,1,1,1,0.0400610802035969,0.0397838915757836,0.0594563173265503,0.0464337630353103,0.0112787144030279
0,1,1,1,1,0,0,0,0.0677733845680711,0.0626275200818975,0.0750918176232539,0.0684975740910742,0.00626362643751898
0,1,1,1,1,0,0,1,0.064564643344997,0.0569378380400239,0.0844455123031148,0.0686493312293786,0.0142014626773332
0,1,1,1,1,0,1,0,0.0558713896909798,0.0599185256451314,0.0719490666131335,0.0625796606497482,0.00836266425476276
0,1,1,1,1,0,1,1,0.0608515997187534,0.0567324373931334,0.0812070159760171,0.0662636843626346,0.0131041689681887
0,1,1,1,1,1,0,0,0.0567589645611055,0.0669288310354497,0.0681840793667269,0.0639572916544274,0.00626544865114482
0,1,1,1,1,1,0,1,0.0639226261323887,0.0624355423839776,0.0861804700804749,0.0708462128656138,0.0133006555390078
0,1,1,1,1,1,1,0,0.05652348736035,0.0531044781692086,0.0654648157970611,0.0583642604422066,0.00638246196406936
